,Model,Precision,Recall,F1-Score,Accuracy,Method,Prompt_Version,Query_Template,Examples_Method,Temperature
1,QWEN2.5_14B,0.7827,0.7891,0.7833,0.8071,few-shot,3,2,2,0.5
2,QWEN2.5_14B,0.7839,0.7865,0.7831,0.8071,few-shot,3,2,2,1.0
3,QWEN2.5_14B,0.7834,0.7865,0.7825,0.8066,few-shot,3,2,2,0.2
4,QWEN2.5_14B,0.78,0.794,0.7823,0.8076,many-shot,3,2,2,0.0
5,QWEN2.5_14B,0.7793,0.7929,0.7813,0.8066,many-shot,3,2,2,0.5
6,QWEN2.5_14B,0.779,0.7922,0.7809,0.8066,many-shot,3,2,2,0.2
7,QWEN2.5_14B,0.7807,0.7857,0.7807,0.8049,few-shot,3,2,2,0.0
8,QWEN2.5_14B,0.7763,0.7895,0.7802,0.8028,few-shot,2,2,2,0.0
9,QWEN2.5_14B,0.7767,0.7929,0.7798,0.8033,many-shot,3,2,2,1.0
10,QWEN2.5_14B,0.776,0.7851,0.7786,0.8023,few-shot,2,2,2,1.0
11,QWEN2.5_14B,0.7735,0.7873,0.7777,0.8006,few-shot,2,2,2,0.2
12,QWEN2.5_14B,0.7715,0.7905,0.7772,0.8023,many-shot,2,2,2,1.0
13,QWEN2.5_14B,0.7737,0.7855,0.7767,0.7996,few-shot,2,2,2,0.5
14,QWEN2.5_14B,0.7714,0.7897,0.7763,0.8012,many-shot,2,2,2,0.2
15,QWEN2.5_14B,0.7714,0.788,0.7755,0.8006,many-shot,2,2,2,0.0
16,QWEN2.5_14B,0.7704,0.7884,0.7752,0.8006,many-shot,2,2,2,0.5
17,MISTRAL_NEMO,0.7911,0.7605,0.7739,0.791,few-shot,1,1,1,0.2
18,MISTRAL_NEMO,0.782,0.7678,0.7738,0.7958,few-shot,2,2,1,0.0
19,MISTRAL_NEMO,0.7929,0.759,0.7733,0.7926,few-shot,1,1,1,0.0
20,MISTRAL_NEMO,0.7665,0.7864,0.7731,0.7834,few-shot,1,2,1,0.2
21,MISTRAL_NEMO,0.768,0.7855,0.773,0.7845,few-shot,1,2,1,0.0
22,QWEN2.5_14B,0.7556,0.8103,0.7721,0.792,many-shot,3,2,1,0.5
23,QWEN2.5_14B,0.7541,0.8091,0.7706,0.7904,many-shot,3,2,1,0.0
24,QWEN2.5_14B,0.7521,0.809,0.77,0.7898,many-shot,1,2,1,0.0
25,QWEN2.5_14B,0.7531,0.8082,0.7696,0.7894,many-shot,3,2,1,0.2
26,QWEN2.5_14B,0.7513,0.8091,0.7692,0.7888,many-shot,1,2,1,0.2
27,QWEN2.5_14B,0.7507,0.8088,0.7685,0.7883,many-shot,1,2,1,0.5
28,QWEN2.5_14B,0.752,0.8075,0.7683,0.7877,many-shot,3,2,1,1.0
29,QWEN2.5_14B,0.7509,0.8009,0.768,0.7872,few-shot,3,2,1,0.2
30,QWEN2.5_14B,0.7486,0.8069,0.7667,0.7861,many-shot,1,2,1,1.0
31,QWEN2.5_14B,0.763,0.7768,0.7664,0.7937,many-shot,1,2,2,1.0
32,MISTRAL_NEMO,0.7717,0.7616,0.7658,0.7904,few-shot,2,2,1,0.2
33,QWEN2.5_14B,0.7642,0.7691,0.7658,0.7963,few-shot,1,2,2,1.0
34,QWEN2.5_14B,0.7468,0.805,0.7655,0.7845,few-shot,1,2,1,0.2
35,QWEN2.5_14B,0.7481,0.7983,0.7653,0.7845,few-shot,3,2,1,0.0
