Title,IRI,Description,Example
agrees with,http://schema.org/citation,"The citing entity agrees with statements, ideas or conclusions presented in the cited entity.",Example: We share Galileo's opinion: the Earth moves [X].
citation,http://purl.org/spar/cito/cites,"This property is defined in schema.org and has been added here to align schema.org with CiTO. The object property schema:citation expresses similar semantics to cito:cites except for the explicit definition of domain and range classes, that are schema:CreativeWork according to schema.org. For that reason, it is here defined as a subproperty of cito:cites.",
cites,http://purl.org/spar/cito/citesAsAuthority,"The citing entity cites the cited entity, either directly and explicitly (as in the reference list of a journal article), indirectly (e.g. by citing a more recent paper by the same group on the same topic), or implicitly (e.g. as in artistic quotations or parodies, or in cases of plagiarism).",
cites as authority,http://purl.org/spar/cito/citesAsDataSource,The citing entity cites the cited entity as one that provides an authoritative description or definition of the subject under discussion.,Example: Newton asserted that we are like dwarfs standing on the shoulders of giants [X].
cites as data source,http://purl.org/spar/cito/citesAsEvidence,The citing entity cites the cited entity as source of data.,Example: Italy has more than ten thousand kilometers of shoreline: see [X].
cites as evidence,http://purl.org/spar/cito/citesAsMetadataDocument,The citing entity cites the cited entity as source of factual evidence for statements it contains.,Example: We found an unquestionable demonstration of our hypothesis in [X].
cites as metadata document,http://purl.org/spar/cito/citesAsPotentialSolution,The citing entity cites the cited entity as being the container of metadata describing the citing entity.,"Example: Basic bibliographic, entity and project metadata relating to this article, recorded in a structured machine-readable form, is available as an additional file [X] accompanying this paper."
cites as potential solution,http://purl.org/spar/cito/citesAsRecommendedReading,The citing entity cites the cited entity as providing or containing a possible solution to the issues being discussed.,Example: This risk could be avoided using the approach shown in [X].
cites as recommended reading,http://purl.org/spar/cito/citesAsRelated,"The citing entity cites the cited entity as an item of recommended reading.  This property can be used, for example, to describe references in a lecture reading list, where the cited references are relevant to the general topic of the lecture, but might not be individually cited within the text of the lecture.  Similarly, it could be used to describe items in a 'Suggested further reading' list at the end of a book chapter.","Example: To our knowledge, [X] is the best source of exercises about UML, making it a valuable proposal for beginners."
cites as related,http://purl.org/spar/cito/citesAsSourceDocument,The citing entity cites the cited entity as one that is related.,Example: An analysis similar to what we proposed here is presented in [X].
cites as source document,http://purl.org/spar/cito/citesForInformation,"The citing entity cites the cited entity as being the entity from which the citing entity is derived, or about which the citing entity contains metadata.",Example: Several sections of this work are based on our literature review of the topic published as journal article [X].
cites for information,http://purl.org/spar/cito/compiles,The citing entity cites the cited entity as a source of information on the subject under discussion.,Example: The grammar of Pascal was introduced in [X].
compiles,http://purl.org/spar/cito/confirms,The citing entity is used to create or compile the cited entity.,Example: This book gathers interviews with academic researchers of several disciplines [X].
confirms,http://purl.org/spar/cito/containsAssertionFrom,"The citing entity confirms facts, ideas or statements presented in the cited entity.",Example: Our findings are similar to those published in [X].
contains assertion from,http://purl.org/spar/cito/corrects,"The citing entity contains a statement of fact or a logical assertion (or a collection of such facts and/or assertions) originally present in the cited entity.   This object property is designed to be used to relate a separate abstract, summary or nanopublication to the cited entity upon which it is based.",Example: We think that to stand on the top of giants [X] is a valuable principle to follow for our own research.
corrects,http://purl.org/spar/cito/credits,"The citing entity corrects statements, ideas or conclusions presented in the cited entity.","Example: The result published in [X] is partially wrong, the correct result is 42."
credits,http://purl.org/spar/cito/critiques,The citing entity acknowledges contributions made by the cited entity.,Example: Galileo was the first to observe Jupiter's satellites [X].
critiques,http://purl.org/spar/cito/derides,"The citing entity critiques statements, ideas or conclusions presented in the cited entity.",Example: The ideas presented in [X] are badly substantantiated.
derides,http://purl.org/spar/cito/describes,"The citing entity express derision for the cited entity, or for ideas or conclusions contained within it.",Example: The ideas published in [X] are incredibly stupid.
describes,http://purl.org/spar/cito/disagreesWith,The citing entity describes the cited entity.,Example: Galileo's book [X] is a dialog among three scientists about Copernicus' eliocentric theory.
disagrees with,http://purl.org/spar/cito/discusses,"The citing entity disagrees with statements, ideas or conclusions presented in the cited entity.",Example: We do not share Galileo's opinion [X]: the Earth does not move.
discusses,http://purl.org/spar/cito/disputes,"The citing entity discusses statements, ideas or conclusions presented in the cited entity.",Example: We now examine if Galileo is right when he writes [X] that the Earth moves.
disputes,http://purl.org/spar/cito/documents,"The citing entity disputes statements, ideas or conclusions presented in the cited entity.",Example: We doubt that Galileo is right when he writes [X] that the Earth moves.
documents,http://purl.org/spar/cito/extends,The citing entity documents information about the cited entity.,Example: Herein we report in detail the complete set of ontological rules defined in the Overlapping Ontology [X].
extends,http://purl.org/spar/cito/givesBackgroundTo,"The citing entity extends facts, ideas or understandings presented in the cited entity.",Example: We add to Galileo's findings concerning the Earth [X] that also the Moon moves.
gives background to,http://purl.org/spar/cito/givesSupportTo,The cited entity provides background information for the citing entity.,
gives support to,http://purl.org/spar/cito/hasCitationCharacterization,The cited entity provides intellectual or factual support for the citing entity.,
has citation characterization,http://purl.org/spar/cito/hasCitedEntity,"A property that links a citation to its characterization made by using a CiTO citation characterization property such as cito:extends. This usage involved OWL2 punning, whenby a CiTO object property, such as the aforementioned cito:extends, is used as the object of an OWL assertion:

     :thisCitation cito:hasCitationCharacterization cito:extends .

In such cases of OWL punning, the CiTO object properties are simultaneously considered both as normal object properties and also as proper named individuals of the class owl:Thing.",
has cited entity,http://purl.org/spar/cito/hasCitingEntity,A property that relates a citation to the cited entity.,
has citing entity,http://purl.org/spar/cito/hasReplyFrom,A property that relates a citation to the citing entity.,
has reply from,http://purl.org/spar/cito/includesExcerptFrom,The cited entity evokes a reply from the citing entity.,
