,Model,Precision,Recall,F1-Score,Accuracy,Method,System_Prompt,Query_Template,Examples_Method,Temperature
1,QWEN2.5_14B,0.6088,0.6536,0.6104,0.6691,few-shot,3,2,2,1.0
2,QWEN2.5_14B,0.5975,0.6449,0.6024,0.6547,few-shot,3,2,2,0.0
3,QWEN2.5_14B,0.5966,0.6449,0.6007,0.6547,few-shot,3,2,2,0.2
4,QWEN2.5_14B,0.6487,0.578,0.6002,0.6619,one-shot,3,2,2,0.5
5,QWEN2.5_14B,0.6432,0.5844,0.5983,0.6691,one-shot,3,2,2,1.0
6,QWEN2.5_14B,0.6334,0.6235,0.5975,0.6691,many-shot,3,2,1,0.0
7,QWEN2.5_14B,0.6449,0.5716,0.5955,0.6547,one-shot,3,2,2,0.0
8,QWEN2.5_14B,0.6297,0.6212,0.594,0.6619,many-shot,3,2,1,0.5
9,QWEN2.5_14B,0.6298,0.6171,0.593,0.6619,many-shot,3,2,1,0.2
10,QWEN2.5_14B,0.6332,0.6229,0.5924,0.6547,few-shot,3,2,1,0.5
11,QWEN2.5_14B,0.6296,0.6165,0.5882,0.6475,few-shot,3,2,1,0.0
12,QWEN2.5_14B,0.601,0.6093,0.5868,0.6547,many-shot,3,2,1,1.0
13,QWEN2.5_14B,0.5854,0.618,0.585,0.6547,few-shot,3,2,2,0.5
14,QWEN2.5_14B,0.6078,0.6165,0.5839,0.6475,few-shot,3,2,1,1.0
15,QWEN2.5_14B,0.6227,0.6098,0.5801,0.6403,few-shot,3,2,1,0.2
16,GEMMA2-9B,0.5759,0.5833,0.5719,0.6259,few-shot,3,2,2,1.0
17,GEMMA2-27B,0.5716,0.5959,0.57,0.6115,one-shot,3,2,2,1.0
18,GEMMA2-27B,0.575,0.5811,0.5655,0.6043,one-shot,3,2,1,0.0
19,GEMMA2-27B,0.575,0.5811,0.5655,0.6043,one-shot,3,2,1,0.2
20,QWEN2.5_14B,0.6192,0.5406,0.5654,0.6547,one-shot,3,2,2,0.2
21,GEMMA2-27B,0.5735,0.5869,0.563,0.5971,one-shot,3,2,1,0.5
22,GEMMA2-9B,0.5697,0.5679,0.5619,0.6187,few-shot,3,2,2,0.0
23,GEMMA2-9B,0.5697,0.5679,0.5619,0.6187,few-shot,3,2,2,0.2
24,GEMMA2-27B,0.5679,0.5733,0.5574,0.6115,one-shot,3,2,2,0.5
25,GEMMA2-9B,0.5542,0.5589,0.5489,0.6043,few-shot,3,2,2,0.5
26,GEMMA2-27B,0.559,0.5643,0.5481,0.5971,one-shot,3,2,2,0.0
27,GEMMA2-27B,0.5594,0.5643,0.5481,0.5971,one-shot,3,2,2,0.2
28,GEMMA2-9B,0.5682,0.569,0.5471,0.6043,few-shot,3,2,1,1.0
29,GEMMA2-9B,0.5841,0.5262,0.5385,0.6331,one-shot,3,2,2,0.5
30,GEMMA2-9B,0.5611,0.5316,0.5372,0.6115,few-shot,3,2,1,0.0
31,GEMMA2-27B,0.5436,0.5494,0.5369,0.5612,few-shot,3,2,2,0.2
32,GEMMA2-9B,0.5912,0.5219,0.5351,0.6331,one-shot,3,2,2,0.0
33,GEMMA2-9B,0.5608,0.5273,0.5342,0.6115,few-shot,3,2,1,0.2
34,GEMMA2-9B,0.5546,0.5293,0.5318,0.6043,few-shot,3,2,1,0.5
35,GEMMA2-27B,0.5453,0.5407,0.5306,0.5755,one-shot,3,2,1,1.0
36,QWEN2.5_14B,0.5242,0.5659,0.529,0.6115,many-shot,3,2,2,0.5
